Population Size,Mutation Probability,Max Generations,Crossover Type,Mean Number of Colors
100,0.05,200,one-point,5.6
100,0.05,200,two-point,4.8
100,0.05,200,uniform,4.8
100,0.05,500,one-point,5.3
100,0.05,500,two-point,5.0
100,0.05,500,uniform,4.9
100,0.05,800,one-point,5.3
100,0.05,800,two-point,5.1
100,0.05,800,uniform,4.7
100,0.1,200,one-point,5.4
100,0.1,200,two-point,5.3
100,0.1,200,uniform,4.9
100,0.1,500,one-point,5.0
100,0.1,500,two-point,4.9
100,0.1,500,uniform,4.9
100,0.1,800,one-point,5.4
100,0.1,800,two-point,5.0
100,0.1,800,uniform,5.1
100,0.15,200,one-point,5.2
100,0.15,200,two-point,5.2
100,0.15,200,uniform,4.8
100,0.15,500,one-point,5.7
100,0.15,500,two-point,5.0
100,0.15,500,uniform,4.8
100,0.15,800,one-point,5.4
100,0.15,800,two-point,5.1
100,0.15,800,uniform,5.0
100,0.2,200,one-point,5.7
100,0.2,200,two-point,4.9
100,0.2,200,uniform,4.7
100,0.2,500,one-point,5.4
100,0.2,500,two-point,5.3
100,0.2,500,uniform,5.0
100,0.2,800,one-point,5.6
100,0.2,800,two-point,5.2
100,0.2,800,uniform,4.9
200,0.05,200,one-point,4.9
200,0.05,200,two-point,4.8
200,0.05,200,uniform,4.6
200,0.05,500,one-point,5.0
200,0.05,500,two-point,4.7
200,0.05,500,uniform,4.9
200,0.05,800,one-point,5.0
200,0.05,800,two-point,4.8
200,0.05,800,uniform,4.8
200,0.1,200,one-point,5.0
200,0.1,200,two-point,4.7
200,0.1,200,uniform,4.8
200,0.1,500,one-point,5.1
200,0.1,500,two-point,4.5
200,0.1,500,uniform,4.8
200,0.1,800,one-point,5.0
200,0.1,800,two-point,4.6
200,0.1,800,uniform,4.8
200,0.15,200,one-point,5.2
200,0.15,200,two-point,4.9
200,0.15,200,uniform,5.0
200,0.15,500,one-point,5.1
200,0.15,500,two-point,4.9
200,0.15,500,uniform,4.8
200,0.15,800,one-point,4.9
200,0.15,800,two-point,5.0
200,0.15,800,uniform,4.7
200,0.2,200,one-point,4.9
200,0.2,200,two-point,4.9
200,0.2,200,uniform,4.9
200,0.2,500,one-point,4.9
200,0.2,500,two-point,4.8
200,0.2,500,uniform,4.6
200,0.2,800,one-point,5.1
200,0.2,800,two-point,4.6
200,0.2,800,uniform,4.9
300,0.05,200,one-point,4.9
300,0.05,200,two-point,4.8
300,0.05,200,uniform,4.4
300,0.05,500,one-point,4.9
300,0.05,500,two-point,4.9
300,0.05,500,uniform,4.5
300,0.05,800,one-point,5.0
300,0.05,800,two-point,4.5
300,0.05,800,uniform,4.6
300,0.1,200,one-point,5.2
300,0.1,200,two-point,4.6
300,0.1,200,uniform,4.6
300,0.1,500,one-point,4.6
300,0.1,500,two-point,4.7
300,0.1,500,uniform,4.8
300,0.1,800,one-point,4.7
300,0.1,800,two-point,4.7
300,0.1,800,uniform,4.6
300,0.15,200,one-point,4.8
300,0.15,200,two-point,4.7
300,0.15,200,uniform,4.6
300,0.15,500,one-point,4.9
300,0.15,500,two-point,4.6
300,0.15,500,uniform,4.6
300,0.15,800,one-point,4.7
300,0.15,800,two-point,4.8
300,0.15,800,uniform,4.6
300,0.2,200,one-point,4.9
300,0.2,200,two-point,4.5
300,0.2,200,uniform,4.9
300,0.2,500,one-point,4.8
300,0.2,500,two-point,4.8
300,0.2,500,uniform,4.7
300,0.2,800,one-point,5.0
300,0.2,800,two-point,4.9
300,0.2,800,uniform,4.7
500,0.05,200,one-point,4.8
500,0.05,200,two-point,4.8
500,0.05,200,uniform,4.7
500,0.05,500,one-point,4.5
500,0.05,500,two-point,4.0
500,0.05,500,uniform,4.7
500,0.05,800,one-point,4.7
500,0.05,800,two-point,4.6
500,0.05,800,uniform,4.6
500,0.1,200,one-point,4.5
500,0.1,200,two-point,4.5
500,0.1,200,uniform,4.7
500,0.1,500,one-point,4.7
500,0.1,500,two-point,4.3
500,0.1,500,uniform,4.2
500,0.1,800,one-point,4.7
500,0.1,800,two-point,4.5
500,0.1,800,uniform,4.4
500,0.15,200,one-point,4.8
500,0.15,200,two-point,4.3
500,0.15,200,uniform,4.5
500,0.15,500,one-point,4.6
500,0.15,500,two-point,4.3
500,0.15,500,uniform,4.4
500,0.15,800,one-point,4.8
500,0.15,800,two-point,4.4
500,0.15,800,uniform,4.4
500,0.2,200,one-point,4.9
500,0.2,200,two-point,4.6
500,0.2,200,uniform,4.4
500,0.2,500,one-point,4.8
500,0.2,500,two-point,4.7
500,0.2,500,uniform,4.4
500,0.2,800,one-point,4.6
500,0.2,800,two-point,4.8
500,0.2,800,uniform,4.6
800,0.05,200,one-point,4.4
800,0.05,200,two-point,4.3
800,0.05,200,uniform,4.5
800,0.05,500,one-point,4.7
800,0.05,500,two-point,4.2
800,0.05,500,uniform,4.3
800,0.05,800,one-point,4.5
800,0.05,800,two-point,4.4
800,0.05,800,uniform,4.4
800,0.1,200,one-point,4.4
800,0.1,200,two-point,4.2
800,0.1,200,uniform,4.3
800,0.1,500,one-point,4.3
800,0.1,500,two-point,4.2
800,0.1,500,uniform,4.8
800,0.1,800,one-point,4.4
800,0.1,800,two-point,4.3
800,0.1,800,uniform,4.7
800,0.15,200,one-point,4.7
800,0.15,200,two-point,4.3
800,0.15,200,uniform,4.6
800,0.15,500,one-point,4.6
800,0.15,500,two-point,4.4
800,0.15,500,uniform,4.4
800,0.15,800,one-point,4.6
800,0.15,800,two-point,4.4
800,0.15,800,uniform,4.5
800,0.2,200,one-point,4.4
800,0.2,200,two-point,4.5
800,0.2,200,uniform,4.8
800,0.2,500,one-point,4.3
800,0.2,500,two-point,4.7
800,0.2,500,uniform,4.3
800,0.2,800,one-point,4.6
800,0.2,800,two-point,4.4
800,0.2,800,uniform,4.5
1000,0.05,200,one-point,4.6
1000,0.05,200,two-point,4.3
1000,0.05,200,uniform,4.4
1000,0.05,500,one-point,4.4
1000,0.05,500,two-point,4.2
1000,0.05,500,uniform,4.1
1000,0.05,800,one-point,4.3
1000,0.05,800,two-point,4.3
1000,0.05,800,uniform,4.4
1000,0.1,200,one-point,4.5
1000,0.1,200,two-point,4.2
1000,0.1,200,uniform,4.5
1000,0.1,500,one-point,4.4
1000,0.1,500,two-point,4.4
1000,0.1,500,uniform,4.0
1000,0.1,800,one-point,4.5
1000,0.1,800,two-point,4.3
1000,0.1,800,uniform,4.3
1000,0.15,200,one-point,4.3
1000,0.15,200,two-point,4.3
1000,0.15,200,uniform,4.3
1000,0.15,500,one-point,4.7
1000,0.15,500,two-point,4.5
1000,0.15,500,uniform,4.7
1000,0.15,800,one-point,4.6
1000,0.15,800,two-point,4.0
1000,0.15,800,uniform,4.5
1000,0.2,200,one-point,4.5
1000,0.2,200,two-point,4.4
1000,0.2,200,uniform,4.6
1000,0.2,500,one-point,4.3
1000,0.2,500,two-point,4.0
1000,0.2,500,uniform,4.4
1000,0.2,800,one-point,4.5
1000,0.2,800,two-point,4.4
1000,0.2,800,uniform,4.2
